,session,year,country,summary
10,44,1989,SUR," Suriname has been confronted in this decade with falling prices of our main commodities, with difficulties in penetrating the markets of the industrialized nations . But they have at the same time strengthened their determination to meet the challenges that face us and to redouble our efforts to achieve the goals we set for ourselves years ago . A new step forward is being taken in the peace process and the process of dialogue and consensus ."
11,44,1989,ARG," Nigeria's President speaks at the U.N. General Assembly in New York . He says he has always believed it is impossible to imagine the future of one's country without reflecting upon the reality of the world around us . The twenty-first century must not be a century of war, anguish, death, hunger, alienation, collective madness, indifference, disease, backwardness or ignorance ."
12,44,1989,SLV," First formal accord between Government of El Salvador and EMLN was achieved on 13, 14 and 15 September . It lays down guidelines for permanent dialogue, making possible the total solution to the conflict in the shortest possible time . The Mexico agreement is historic and significant because it sets out a framework whereby it is possible, through agreements, for groups that are still using weapons to have recourse, instead, to peaceful means ."
13,44,1989,MYS, It is a matter of great satisfaction to me and my delegation that we are gathered here at the United Nations this year in a more positive international political environment . For the first time since the birth of the UN we are presented with a unique opportunity to reshape the structure of international relations . The inequitable and unjust pattern of international economic relations cannot continue much longer without adverse consequences for both developed and developing countries .
14,44,1989,NPL, King Birendra Bir Bikram Shah Dev congratulates him on his election as President of the forty-fourth session of the U.N. General Assembly . Maldives is adding to the agenda of the General Assembly an item entitled 'Protection and security of small States' Nepal has long held that Nepal's zone of peace proposal - which is a natural corollary of our policy of scrupulous adherence to the principles of the United Nations Charter aid non-alignment .
15,44,1989,PRT," Portugal has always involved itself in the great issues that concern not only East-West relations, but those between North and South . Portugal advocates dialogue, both on the international level and on the internal level, as the means of resolving problems of this area . The disappearance of vast areas of forest - namely the Amazon jungle - today endangers the entire terrestrial ecological equilibrium ."
16,44,1989,COL," A new era is upon us, an era as critical as the one that led to the establishment of the United Nations . The monetary value of drug trafficking has recently surpassed that of international trade in oil and is second only to the arms trade . Colombia has lost 12 Supreme Court Justices, an Attorney General and a Minister of Justice . The record of human history is strewn with the wreckage of failed civilizations ."
17,44,1989,BLR," The next decade will be decisive in terms of whether mankind succeeds in coping with new challenges, says the Soviet Union . The United Nations emerged from the Second World War which was unleashed by fascism and militarism . The role of the United Nations in resolving regional crises is growing, he says . We must move from extinguishing fires to detecting and preventing them, he adds ."
18,44,1989,MAR, The Organization remains an irreplaceable instrument for leading the international community to greater harmony and justice between nations . We hope that this detente will spur progress at the Conference on Disarmament in Geneva and enable it to overcome its present period of stagnation . We must note that the intransigence shown by Israel and its blocking of all serious initiatives launched by the Arab side compel us to give up all grounds for optimism .
19,44,1989,LCA, In no other decade of this century have we witnessed such a rapid transformation of socio-economic and political philosophies and ideologies . Saint Lucia hopes that the Government of Israel will begin to show greater flexibility in its approach to solving the problems in the Middle East . The 1980s will be remembered for all time as a decade of great political progress on both the domestic and international front .
20,44,1989,EGY," President of Nigeria congratulates him on his election to presidency of the General Assembly . He pays tribute to his predecessor, the former Foreign Minister of Argentina, for his great efforts . Egypt is determined to pursue the struggle until the African continent is totally liberated from racism and oppression, until it rids itself of poverty ."
21,44,1989,MEX," The next century must be spared the agonies of war and poverty that still afflicts millions of human beings, if liberty is to flourish and democracy is to have a real chance to survive . Mexico is resolutely making progress in an effort towards structural change, which entails sacrifice and discipline on the part of the Mexican people ."
22,44,1989,BEL," Arms race has put a considerable strain on our economies and swallowed up tremendous sums that could otherwise have been channelled into social benefits or into development assistance . The market economy, however imperfect, appears to be better suited to bringing about the third industrial revolution . The problems of the third world have been considerably aggravated by the scandalous traffic in arms, itself too often financed by the even greater disgrace of the traffic in drugs ."
23,44,1989,BRN," As 1990 approaches, we are leaving behind a decade characterized by a succession of international crises in many parts of the world . The easing of tension between the super-Powers has gained momentum, as demonstrated by summit meetings between the U.S. and the USSR . Despite increasing international efforts, peace and stability have not been achieved in such areas as the Middle East, South Africa and Kampuchea ."
24,44,1989,RWA, The Rwandese Republic is proud to join the great family of the united Nations . Rwanda reiterates its solemn commitment to the cause of peace . Rwanda appeals to the international community for more effective solidarity and mutual understanding with regard to Africa's external debt . The economic situation of Africa and developing countries in general is more worrying than ever before .
25,44,1989,CAN," Canada is ready to send members of our national force, the Royal Canadian Mounted Police, if asked, to supplement the United Nations presence in Namibia . This would be the first time in Canada has undertaken such a role and in order to be ready, their Commissioner has asked for 100 volunteers . Co-operation is now the new realism and pragmatism is the path to progress ."
26,44,1989,ALB," Albanian delegation congratulates Perez de Cuellar on his efforts to strengthen the role of the United Nations in coping with the acute problems of our time in the cause of peace and security . Albania is in favour of improving the atmosphere and easing the tension in Europe, the delegation says . Albania has established and maintains fair, fruitful and friendly relations with the great majority of countries ."
27,44,1989,GRC, Nigeria congratulates President of the forty-fourth session of the U.N. General Assembly . Greece is deeply satisfied that a most distinguished representative of Nigeria has been elected by acclamation to this prestigious office . The openness and restructuring that are defining current developments in Eastern and Central Europe constitute a political event of historical dimensions .
28,44,1989,KNA," Saint Kitts and Nevis had proudly enjoyed a 5.8 per cent annual rate of growth in our economy over the past five years . We were struck by a horrendous hurricane called Hugo that left a path of death, destruction, tragedy and homelessness in the eastern Caribbean . I appeal for an end to civil strife in Afghanistan, I reiterate the need for the preservation of the sovereignty and territorial integrity of Afghanistan ."
29,44,1989,GUY," We are meeting at a time when the dynamic of co-operation has gained ascendancy over that of confrontation . The prospect for the end of apartheid - which is Inevitable - is not as clearly discernible in time . The international conference on the Middle East called for by the United Nations could, if pursued with patience and with seriousness, lead to a durable and lasting negotiated settlement ."
30,44,1989,LBR," The establishment of the U.N. 44 years ago marked the beginning of a new era in international relations . A just and lasting settlement must take into account the rights of the Palestinian people to self-determination . The international community must intensify its efforts towards disarmament, so that funds released in the process could be allocated to improving the world's socio-economic situation ."
31,44,1989,ATG," The United Nations was created at the end of the Second World War to promote peace, security, economic reconstruction and self-determination . Antigua and Barbuda endorses a broader approach as proposed by Jamaica in a pending united Nations draft resolution . The accumulation of carbon dioxide in the atmosphere as a consequence of development could increase the earth's average temperature by 3 to 9 degrees Fahrenheit before the year 2050 ."
32,44,1989,MOZ," In the period since the last session, massacres, destruction ad looting have continued unabated in Mozambique . The FRELIMO party and the Mozambican Government announced a set of principles to end the war by peaceful means . The current regional and international climate is favourable to the search for a solution to the problem of South Africa ."
33,44,1989,JPN, Ambassador Garba congratulates Garba on his election as President of this forty-fourth session of the General Assembly . He says the U.N. has played a very positive role in resolving many issues that have confronted the international community . Garba: The international community is today in the midst of a major transition from discord to dialogue .
34,44,1989,YDYE," The election of Ambassador Garba of Nigeria to the presidency of the forty 'fourth session of the General Assembly is a recognition of his great diplomatic skills . Yemen's priorities remain based on the social and economic development of the developing countries . Yemen is keen to strengthen and promote relations on the basis of mutual respect for independence, national sovereignty, and non-interference in internal affairs ."
35,44,1989,GAB," The parties to the Iran-Iraq conflict have agreed to negotiate in Geneva on the basis of Security Council resolution 598 (1987) We can only welcome this, while exhorting the two parties to commit themselves to doing their utmost to help the Secretary-General in the full implementation of that resolution . The process of Namibia's accession to international sovereignty - long overdue - is today irreversible ."
36,44,1989,BGD," The world's poorest, the least developed countries, continue to be mired in a serious development crisis . The proportion of 'hard-core poor' in these countries has increased staggeringly . The flow of resources continues to go from the poor of the developing South to the rich in the North . Bangladesh endorses the need for sustained support to the front-line States ."
37,44,1989,SWE, The roots of war and conflict are often to be found in unjust social and economic conditions . Sweden will propose at this session of the General Assembly the realization of a global programme of action against narcotic drugs . Sweden intends to take an active part in the important preparatory process leading up to the 1992 United Nations Conference on Environment and Development .
38,44,1989,TUR," The President of the forty-fourth session of the General Assembly will address the issues before it with courage, vision and realism . Turkey will continue to pursue actively a policy aimed at creating in its region relations based on mutual confidence that would help foster beneficial co-operation . Turkey attaches importance to the success of the arms control and disarmament process as a whole ."
39,44,1989,TCD," The Chad delegation would like to pay a well-deserved tribute to the dynamic Secretary-General of the United Nations, Mr. Javier Perez de Cuellar . The Government of the Republic of Chad, for its part, has always worked for peace in international relations and in its own relations with neighbouring countries ."
40,44,1989,SYR," President Amina Sanayayi congratulates him on his election to presidency of this forty-fourth session of the General Assembly . He calls for the establishment of a zone free of all weapons of mass destruction, whether nuclear, chemical or biological, in the Middle East region . The Arab-Israeli conflict is continuing to take a different course ."
41,44,1989,CMR," The reduction of tension throughout the world can create an international environment that is stable and secure and that favours economic and social development . Nigeria shares a large number of common interests and affinities with Cameroon, which need no emphasizing now . The common destiny of mankind in the face of the many dangers threatening all countries, large or small, rich or poor, has become an inescapable reality of our time ."
42,44,1989,JAM, Jamaican delegation congratulates U.N. Secretary-General's election to presidency of this session of the General Assembly . Jamaican nation was devastated by one of the worst hurricanes in our history . Jamaica strongly endorse appeals to the international community to assist those countries as generously as we were assisted in our time of need .
43,44,1989,LUX," A favourable climate is developing between the Soviet Union and the United States, between East and West and between North and South . Big steps forward have been made in the solution of a number of regional conflicts, making a reality of the favourable prospects noted last year . We welcome the emergence of open and truly democratic societies in Central and Eastern Europe ."
44,44,1989,ITA," The countries of the European Community have broadly similar views on the main foreign policy issues . Integration is achieved through the exercise of freedom, democracy and pluralism - in essence, the rights first codified at the international level by the U.N. The survival of our planet calls for the strengthening of multilateral institutions ."
45,44,1989,AGO," Angola expresses his best wishes for your success during this forty-fourth session of the Assembly . Angola congratulates the Secretary-General, Mr. Javier Perez de Cuellar, on his exemplary performance . Angola reiterates its total commitment to complying with the New York agreements, as long as there is a corresponding compliance by the other patties ."
46,44,1989,CRI," President of Costa Rica tells the General Assembly that we are on the verge of peace . Violence has not lessened pain, but severely increased it, he says . 'Let us make this closing decade of the twentieth century one of peace and bread for all the world' 'I urge you once again, Mr Gorbachev, to lay down arms in Central America'"
47,44,1989,CSK," Czechoslovakia was one of the first victims of the expansionism of German fascism that unleashed the Second World War 50 years ago . Only common security serves the interests of all; Disarmament, development and the environment are becoming its organic components . Any attempt to change the post-war order on the European continent would be incompatible with the Helsinki Final Act ."
48,44,1989,BFA," The right of fee Palestinian people to self-determination is ignored by Israel . Burkina Faso supports efforts of the Tripartite Committee of the Arab League to promote dialogue and the search for peace . We hope that peace will come to the Middle East, through the convening of an international conference under the auspices of the United Nations ."
49,44,1989,MNG," The Mongolian delegation fully shares the idea of enhancing the role of the United Nations in the prevention of problems, expressed by the Secretary-General in his report on the work of the Organization . Mongolia is reconsidering its staid vis-à-vis certain international economic and monetary-financial institutions ."
50,44,1989,BHR," This session convenes in an atmosphere of international detente characterized by a spirit of dialogue, the building of bridges of trust and co-operation among States . The world has witnessed an energetic move towards resolving some of the chronic regional conflicts which, for many years, have been a source of concern to the international community . The United Nations fulfilled the tasks entrusted to it and has been able to adjust to this changing world ."
51,44,1989,HTI," The General Assembly is in duty bound to reflect a period when the international community as a whole is stopping and thinking about these matters . Rarely in the past half-century or more has the world experienced such dynamic progress towards peace . South Africa remains under the yoke of the lest regime in the world to profess a racist ideology, which is expressed in blind, systematic repression of the aspirations of the country's black majority ."
52,44,1989,OMN," A greater measure of peace prevails in the world at present, despite the continued existence of focal points of regional and international conflicts and disputes resulting from the fact that a number of Member States fail to honour their international commitments and obligations . Peace will continue to be the pre-eminent goal that my country strives to achieve through its policies in general ."
53,44,1989,CIV," Nigeria's delegation welcomes Nigeria's election to the presidency of this session of the U.N. General assembly . They also congratulate predecessor, Mr. Dante Caputo of Argentina, who guided the General Assembly's work at its preceding session . The international community today welcomes aid reaps the fruits of his intelligence, perspicacity and tenacious efforts, as well as his negotiating strength and skill ."
54,44,1989,TGO," Togo is honoured to be the host country for the U.N. Regional Centre for Peace and Disarmament in Africa . Peace remains precarious in many regions of Asia, America and Africa . Recent informal ministerial meetings in Jakarta and Paris are positive contributions to the process of re-establishing peace in Cambodia . Togolese Government very early recognized the new Palestinian State ."
55,44,1989,CYP," A number of conflicts at diverse points on the globe are now on the path to peaceful resolution . The optimism generated by these positive developments is tempered by the conflicts and problems that continue to afflict other parts of the world . Cyprus has been subjected to invasion and occupation, forced displacement of one third of its population and massive colonization by citizens of the invading country: Turkey ."
56,44,1989,MUS," President of the forty-fourth session of the General Assembly is a matter of great pride to my delegation and to Africa as a whole . The opening of dialogue with the African National Congress will be a test of the sincerity of the new South African Government . Israel must negotiate with the sole and legitimate representative of the Palestinian people, the PLO ."
57,44,1989,MMR," The United Nations has regained much of its relevance, and the role of the Security Council as an instrument of International peace and security has been revitalized . The United States and the Soviet Union reached agreement this year on key elements of a treaty banning those weapons . A successful conclusion of these negotiations would bring about a change in the power relationship between the two major military alliances and set the disarmament process well on course ."
58,44,1989,ARE, The United Arab Emirates congratulates Nigeria's president on his election to the presidency of the U.N. General Assembly at its forty-fourth session . September the first marked the fiftieth anniversary of the outbreak of the Second World War - a war that devastated the structures and resources of many countries .
59,44,1989,GTM," The tendency on the part of some nations to hegemony over others is gradually giving way to the need to co-operate for the benefit of all mankind . Confrontations must become aberrations - things of the past . Guatemala will continue to support the revision of the Treaty Banning Nuclear Weapon Tests in the Atmosphere, in Outer Space and under Water ."
60,44,1989,GRD, It is immoral and a display of cowardice on the part of the South African Government to pursue negotiations with Mandela at this time with a view to resolving the problems which beset the country . The Arab-Israeli conflict over the future of the Palestinians continues to be one of the major stumbling blocks in our efforts to find acceptable solutions to international disputes . The United Nations has a duty to speak out forcefully against that system and to help correct that situation .
61,44,1989,LBY," The veto privilege has been abused by some of the States that enjoy it, he says . Libya is honoured to have taken the initiative in calling for a review of the veto privilege . We urge consideration of the question of compensation for invasion and colonial exploitation . The Arab League is calling upon the international community to restore rights to those lawfully entitled to them ."
62,44,1989,LKA," The external debt of developing countries is new over 31,320 billion . Sri Lanka has a rising debt service ratio of 28.7 per cent . The question of Palestine remains at the crux of the prevailing unrest in the Mideast . Apartheid cannot be reformed. Only decisive action by the international community can bring down the evil edifice of apartheid ."
63,44,1989,TZA," The continued Israeli occupation of Palestinian and other Arab territories, including parts of southern Lebanon, is unacceptable . Tanzania supports the efforts of the Secretary-General in trying to arrange for the holding of a referendum so as to ensure that the Sahraoui people enjoy self-determination and independence . The need to establish a new economic system of this kind is more urgent today than it was 20 years ago ."
64,44,1989,SGP," It is now 11 years since the Cambodian issue was first brought before the Security Council in January 1979 after Vietnamese forces invaded Cambodia on Christmas Day in 1978 . The high cost of foreign occupation brought its economy to the brink of bankruptcy . Now that the Soviet Union is keen to reduce its burdens abroad, the option of a continued Vietnamese presence in Cambodia cannot be ensured ."
65,44,1989,NOR," We are facing a new era which will have to be shaped by responses to common challenges which unite mankind, rather than the conflicts which have divided nations in the past . We must fashion a global concept of security that will embrace the notion of sustainable development, the need to combat underdevelopment and the unequal distribution of wealth ."
66,44,1989,LAO," The Lao delegation of the Lao People's Democratic Republic congratulates Secretary-General Perez de Cuellar on his election as President of the General Assembly . The climate of understanding which developed last year in the Maghreb also encouraged the hope that Western Sahara would see a happy, acceptable solution . The convening of the International Conference on the Indian Ocean remains necessary ."
67,44,1989,ISL," The forging of ever-closer links within the world community has been apparent at many levels - technological, economic and environmental . For Icelanders the safeguarding of the environment is a matter of life or death, no less . Iceland welcomes Malta's initiative to include a new item in the Assembly's agenda on environmental protection of extraterritorial space ."
68,44,1989,AFG," Major-General Garba's election is a tribute to his country's unflinching loyalty to the U.N. Charter . We urge that his role in finding peaceful, comprehensive solutions to regional problems receive full support from the Security Council and the General Assembly . In southern Africa, the continuation of the abhorrent policy of apartheid is the source of great human suffering and destabilization ."
69,44,1989,CHL," Chile has built a new society based on political and economic freedoms . The gentle winds of understanding are opening the way to a better world, he says . Chile reiterates its support for the universality of the UN, and would therefore welcome the desire expressed by the Government of the Republic of Korea for membership in this Organization ."
70,44,1989,DMA," Dominica is a firm believer in the principles espoused and the goals pursued by the United Nations . The struggle for free expression by all the peoples of southern Africa must, however, continue apace . We dare to hope that one day the world will be free of the fear of nuclear war, but that hope is tempered by the alarming proliferation of nuclear weapons ."
71,44,1989,UKR," The path to such a world is not an easy one, chief among which is the arms race . Only disarmament can ensure progress towards a secure future, he says . The U.N. should play a major role now as well, in ending the bloodshed and attaining political solutions in Afghanistan affairs . The Ukrainian SSR intends to continue its support for activities related to the World Campaign for Disarmament ."
72,44,1989,KEN," The past few years have witnessed previously inconceivable progress in long-standing disputes and conflicts . Kenya wishes to put on record its total support for all United Nations efforts aimed at securing international peace . We are concerned that, despite repeated calls for change, the racist Pretoria regime has continued to enforce its abhorrent system of apartheid . The continued accumulation of sophisticated and lethal nuclear and conventional weapons continues to threaten the survival of mankind ."
73,44,1989,BLZ," The time has come to address the pressing imbalances in the world economy . Developing countries must carry the primary responsibility for our future . The industrialized world has a vital part to play - not just in providing external resources and the transfer of technology, but also in ensuring that the developing countries have easy access to their markets ."
74,44,1989,FRA," The 12 would like to see the conclusion at the earliest possible opportunity of a comprehensive, verifiable treaty banning chemical weapons . The European community stands ready to welcome an independent Namibia among its partners under the Lome Convention . The withdrawal of Soviet troops from Afghanistan was a necessary, but not sufficient, condition for a political solution . The community calls for the conclusion of an international agreement on climatic changes ."
75,44,1989,MLI," Mali delegation extends its warmest congratulations to Ambassador Garba on his election to preside over the forty-fourth session . Mali delegation is convinced that his personal qualities and his rich diplomatic experience, which have won him the confidence of the General Assembly, guarantee that our work will be successful ."
76,44,1989,VCT," The present mood reflects the easing of East-West tension and greater co-operation between the major Powers . The end of Namibia's long road to independence is in sight . The next decade will perhaps be the most challenging ever faced by human society . Small island developing States are characterized by narrow economic bases, limited internal markets, diseconomies of scale, and lack of opportunities to take advantage of external markets ."
77,44,1989,VEN," The super-Powers have entered into a period of detente, accommodation and co-operation, with vital initiatives, particularly with regard to nuclear and conventional disarmament . Venezuela reiterates its rejection of colonialism and all forms of racial discrimination . Venezuela appeals to the United Nations to show the greatest diligence in bringing about an end to the terrible massacres and violations of human rights ."
78,44,1989,MLT," Malta's President says Malta's mini-stature does tend to make our self-interest more nearly coincide with the global interest . Malta's initiative to protect the global climate led to resolution 43/53, which was unanimously adopted, entitled 'Protection of global climate for present and future generations of mankind' Malta is satisfied with progress which is being made in the Intergovernmental Panel on Climate Change ."
79,44,1989,GHA," Ghana delegation expresses appreciation for financial and other support extended by the international community to Africa since the last session of the General Assembly . Sub-Saharan Africa will continue to require the maximum support and co-operation of the world community, particularly in dealing with external constraints . Debt service ratios have on the whole worsened and the magnitude of the debt has increased from a few billion dollars to 31.3 trillion ."
80,44,1989,GIN, Guinea President Lansana Conte welcomes Guinea's election to preside over the current session . Condemns South Africa's delaying tactics to hinder the proper implementation of Security Council resolution 435 (1978) The Security Council must shoulder its responsibility for the full implementation of that resolution . Only respect for territorial integrity and national unity can help bring about peace in Cyprus and the Korean peninsula .
81,44,1989,GBR," 50 years ago this month, war began in Europe and spread throughout the world . Hopes for it then were high, but they did not last . Today, the feeling of hope and opportunity in world affairs is greater today than at any time since the Assembly first met, in London ."
82,44,1989,ISR," Six million Jews - almost all of Europe's Jews - were murdered, first by being starved, beaten and shot to death, and later by being gassed in industrialized murder factories . Israel has learned to be in the minority at the U.N. just as we have learned to exist in the dangerous environment of the Middle East ."
83,44,1989,YUG, Nigeria's President says he is eminently qualified to preside over this year's General Assembly . He thanks Secretary-General Perez de Cuellar for his important contribution to seeking solutions to the most acute problems of the world during the past year . He also pays tribute to Argentina's Dante Caputo for his successful presidency of the forty-third session .
84,44,1989,BRB," President says the struggle for economic advancement and social development of non-industrialised nations of the world should be one of the urgent and consuming priorities of international life today . International problems of debt, protectionism, the net reverse flew of financial resources, global warming, threats to the Earth's ozone layer, creeping deserts, pollution and other forms of environmental degradation are as intractable today as they were 50 years ago ."
85,44,1989,IRQ," Iran's selective attitudes have prolonged the suffering of more than 100,000 Iraqi and Iranian prisoners of war . The U.N. must shoulder its legal and humanitarian responsibilities and address this tragedy by bringing Iran to respect humanitarian international law . Iraq 'cannot accept any partial measures or plans that serve the Iranian scheme of perpetuating the state of no war and no peace'"
86,44,1989,HUN," Hungary's foreign policy is of paramount importance for Hungary . The 'enemy' image based on 'cold war' stereotypes is fading away, with confrontation giving way to an interest in guaranteeing the security of the other side . The elimination and political settlement of regional hotbeds of crisis are significant factors for establishing international peace and security ."
87,44,1989,AUT," Nigeria's President Amina Kofi Annan congratulates him on his election to presidency of the U.N. General Assembly . Annan: ""Never before in history has our civilization faced such challenges"" Annann: ""A system originally based on the use of force has become increasingly characterized by diplomacy, with an ever more important role for international law"""
88,44,1989,POL, Poland endorses efforts of the Security Council and the Secretary-General for the peaceful settlement of regional conflicts . Poland has dispatched military contingents and observer groups for duty in a number of U.N. peace-keeping and observer missions . Poland is particularly disturbed by the lack of significant progress in achieving a solution to the debt problem of the middle-income countries .
89,44,1989,GNB," Mr Garba's election to the presidency of the forty-fourth session of the General Assembly is for my country, Guinea-Bissau . His qualities as a wise and experienced diplomat and his deep knowledge of the United Nations system and the major world problems all guarantee enlightened leadership in the work of this session ."
90,44,1989,BWA," The mood in international relations is still characterized by the spirit of detente . Hunger, poverty, disease and other social ills remain the order of the day in third world . The situation in South-East Asia is hopefully moving in the right direction . The Nigerian delegation expresses its support for the new U.N. President ."
91,44,1989,MRT, Mauritanian delegation congratulates Nigeria's Mr. Garba on his well deserved election to the presidency of the General Assembly at its forty-fourth session . Mauritania cannot but express its deep concern over the continuation of the Middle East conflict as well as the aggressive practices of the policy of racial discrimination committed against all the peoples of southern Africa .
92,44,1989,SWZ," King: ""We sympathize with all involved and would appeal to all parties to exercise maximum restraint . Refugees fleeing the conflict are of particular concern to us, constituting at least 7 per cent of our total population . The problems in the Middle East continue to cause concern to the people of Swaziland ."
93,44,1989,DNK," The world today is a better place than it was last year, and it is changing rapidly . Denmark is prepared to take on our share, nationally as well as in cooperation with other Western countries . A solution must also be found to the financial problems of the United Nations in general ."
94,44,1989,DOM," It is a great honour and pleasure for me to return to this rostrum for the forty-fourth session of the Assembly . The Dominican Republic has noted with particular interest the events occurring throughout Africa, not only because of its impact on international policies, but also because the African race is part of our own ethnic and cultural substratum . We stand in solidarity with the African peoples and participate in efforts to solve their problems ."
95,44,1989,MDG," Madagascar congratulates Major-General Garba on election to presidency of the U.N. General Assembly at its forty-fourth session . Madagascar: 'No area of international activity is beyond the Secretary-General's ken or sphere of legitimate interest' Madagascar suggested the creation of a stabilization fund, a monetary fund and a development fund for non-aligned countries ."
96,44,1989,NIC," Nothing that happens on our soil fails to affect the entire world community . Peace will never coexist with misery, injustice and exploitation, we say . Central America is still experiencing the most serious crisis in its history . Nicaragua has proposed that international agencies specializing in human rights should be made responsible for verifying that human rights are being observed in each of the countries ."
97,44,1989,BDI," Major Pierre Buyoya: Burundi has regained its tranquillity and that its sons and daughters are new living in peace, reconciled and trusting one another . Over 98 per cent of refugees had returned by the end of May this year, confounding forecasts and proving to the whole world that Burundian is always capable of doing its best ."
98,44,1989,CUB," President Castro: 'Hope of peace is still uncertain, for those are just initial steps, yet to be consolidated' Cuba strongly supports a policy of peace, and will do everything it can contribute to making this process irreversible . Cuba has been instantly reaffirming, the continued provocations and campaigns orchestrated, day and night against Panama, more than against an individual or event ."
99,44,1989,IRN," Iran welcomes international efforts to end drug trafficking in and the production and use of drugs . The European Community can gain its rightful place in its relations with Iran, including the Islamic Republic of Iran, by correcting its past political mistakes . The world-domineering Powers use cultural domination to gain political influence and alienate the nations of the third world from their social and cultural values ."
100,44,1989,PAK," Relations between Pakistan and Nigeria have always been marked by friendship, understanding and co-operation . A new era of democracy was ushered in by the people of Pakistan last December, after a long and arduous struggle, through a peaceful electoral process . Pakistan abides by the concept of nuclear non-proliferation, but it also expects the nuclear Powers to reciprocate ."
101,44,1989,SEN, The Senegalese delegation wishes to convey its warm congratulations on your well-deserved election to the presidency of the forty-fourth session of the General Assembly of the United Nations . It is gratifying to note that this atmosphere of detente and co-operation is continuing and even growing .
102,44,1989,BGR, The recognition of universal human interests has the effect of bringing closer together foreign policy criteria and values . Capitalism and socialism are no longer regarded as irreconcilable opposites . Bulgaria has been pursuing an active policy of good-neighbourliness and mutual understanding . Bulgaria is pursuing a consistent policy designed to develop bilateral and multilateral economic co-operation .
103,44,1989,YEM, The Yemen Arab Republic reiterates its full support for the total elimination of nuclear weapons by the nuclear-weapon States by the end of this century . Yemen also supports the repeated calls for banning nuclear-weapons tests and diverting the tremendous expenditures freed thereby to economic and social development in the interest of mankind . The halting and banning of nuclear tests is one of the priorities of nuclear disarmament .
104,44,1989,STP," President Manuel Pinto da Costa congratulates Nigeria's President on his election to preside over the forty-fourth session of the U.N. General Assembly . Praises the Secretary-General for his far-sightedness, his constant efforts and the courage with which he has been seeking solutions to some of the regional conflicts affecting the world ."
105,44,1989,NLD," This month marks 50 years since the Nazi attack on Poland, the Second World War broke out . A living memory of the past is essential in our efforts to shape the world of the future . The end of the war saw the birth of the United Nations, but the years following that war did not bring the ideals that had been fought for . The struggle against poverty, malnutrition and underdevelopment is far from being won, Bach says ."
106,44,1989,VUT," Vanuatu congratulates Nigeria's President on his election to the U.N. General Assembly . The Prime Minister sends his fondest regards to you, a friend and a man he knows to be not only a proud son of Nigeria, but also a proud . son of the Republic of Nigeria . The honorary title of Chief was bestowed upon you at a custom ceremony during a visit you made to Vanuatus in 1985, in your capacity as Chairman of the United Nations Special Committee against Apartheid ."
107,44,1989,BOL," Bolivian President Bolivia congratulates U.N. Secretary-General on assumption of presidency of the current session of the General Assembly . Bolivians want to be able to believe in something important transcending boundaries, he says . Bolivia has managed to honour and pay almost 30 per cent of its foreign debt - money owed to the international banking system ."
